Title,Authors,recommendation
An adaptive homeostatic algorithm for the unsupervised learning of visual features,"['Victor Boutin', 'Angelo Franciosini', 'Laurent Perrinet']",Reject
Deep Lagrangian Networks: Using Physics as Model Prior for Deep Learning,"['Michael Lutter', 'Christian Ritter', 'Jan Peters']",Accept (Poster)
Learning Disentangled Representations with Reference-Based Variational Autoencoders,"['Adria Ruiz', 'Oriol Martinez', 'Xavier Binefa', 'Jakob Verbeek']",Reject
Adversarial Audio Synthesis,"['Chris Donahue', 'Julian McAuley', 'Miller Puckette']",Accept (Poster)
A Data-Driven and Distributed Approach to Sparse Signal Representation and Recovery,"['Ali Mousavi', 'Gautam Dasarathy', 'Richard G. Baraniuk']",Accept (Poster)
Interpreting Adversarial Robustness: A View from Decision Surface in Input Space,"['Fuxun Yu', 'Chenchen Liu', 'Yanzhi Wang', 'Xiang Chen']",Reject
The Laplacian in RL: Learning Representations with Efficient Approximations,"['Yifan Wu', 'George Tucker', 'Ofir Nachum']",Accept (Poster)
On the Relation Between the Sharpest Directions of DNN Loss and the SGD Step Length,"['Stanisław Jastrzębski', 'Zachary Kenton', 'Nicolas Ballas', 'Asja Fischer', 'Yoshua Bengio', 'Amos Storkey']",Accept (Poster)
Detecting Topological Defects in 2D Active Nematics Using Convolutional Neural Networks,"['Ruoshi Liu', 'Michael M. Norton', 'Seth Fraden', 'Pengyu Hong']",Reject
Constrained Bayesian Optimization for Automatic Chemical Design,"['Ryan-Rhys Griffiths', 'José Miguel Hernández-Lobato']",Reject
ChoiceNet: Robust Learning by  Revealing Output Correlations,"['Sungjoon Choi', 'Sanghoon Hong', 'Kyungjae Lee', 'Sungbin Lim']",Reject
Graph2Seq: Scalable Learning Dynamics for Graphs,"['Shaileshh Bojja Venkatakrishnan', 'Mohammad Alizadeh', 'Pramod Viswanath']",Reject
Learning Corresponded Rationales for Text Matching,"['Mo Yu', 'Shiyu Chang', 'Tommi S Jaakkola']",Reject
TherML: The Thermodynamics of Machine Learning,"['Alexander A. Alemi', 'Ian Fischer']",Reject
Geomstats: a Python Package for Riemannian Geometry in Machine Learning,"['Nina Miolane', 'Johan Mathe', 'Claire Donnat', 'Mikael Jorda', 'Xavier Pennec']",Reject
Discriminator-Actor-Critic: Addressing Sample Inefficiency and Reward Bias in Adversarial Imitation Learning,"['Ilya Kostrikov', 'Kumar Krishna Agrawal', 'Debidatta Dwibedi', 'Sergey Levine', 'Jonathan Tompson']",Accept (Poster)
Generative Feature Matching Networks,"['Cicero Nogueira dos Santos', 'Inkit Padhi', 'Pierre Dognin', 'Youssef Mroueh']",Reject
"The GAN Landscape: Losses, Architectures, Regularization, and Normalization","['Karol Kurach', 'Mario Lucic', 'Xiaohua Zhai', 'Marcin Michalski', 'Sylvain Gelly']",Reject
Hint-based Training for Non-Autoregressive Translation,"['Zhuohan Li', 'Di He', 'Fei Tian', 'Tao Qin', 'Liwei Wang', 'Tie-Yan Liu']",Reject
GENERATING HIGH FIDELITY IMAGES WITH SUBSCALE PIXEL NETWORKS AND MULTIDIMENSIONAL UPSCALING,"['Jacob Menick', 'Nal Kalchbrenner']",Accept (Oral)
What Information Does a ResNet Compress?,"['Luke Nicholas Darlow', 'Amos Storkey']",Reject
Excessive Invariance Causes Adversarial Vulnerability,"['Joern-Henrik Jacobsen', 'Jens Behrmann', 'Richard Zemel', 'Matthias Bethge']",Accept (Poster)
Adaptivity of deep ReLU network for learning in Besov and mixed smooth Besov spaces: optimal rate and curse of dimensionality,['Taiji Suzuki'],Accept (Poster)
Guided Exploration in Deep Reinforcement Learning,"['Sahisnu Mazumder', 'Bing Liu', 'Shuai Wang', 'Yingxuan Zhu', 'Xiaotian Yin', 'Lifeng Liu', 'Jian Li', 'Yongbing Huang']",Reject
End-to-End Learning of Video Compression Using Spatio-Temporal Autoencoders,"['Jorge Pessoa', 'Helena Aidos', 'Pedro Tomás', 'Mário A. T. Figueiredo']",Reject
Reliable Uncertainty Estimates in Deep Neural Networks using Noise Contrastive Priors,"['Danijar Hafner', 'Dustin Tran', 'Timothy Lillicrap', 'Alex Irpan', 'James Davidson']",Reject
Padam: Closing the Generalization Gap of Adaptive Gradient Methods in Training Deep Neural Networks,"['Jinghui Chen', 'Quanquan Gu']",Reject
AntisymmetricRNN: A Dynamical System View on Recurrent Neural Networks,"['Bo Chang', 'Minmin Chen', 'Eldad Haber', 'Ed H. Chi']",Accept (Poster)
Discriminator Rejection Sampling,"['Samaneh Azadi', 'Catherine Olsson', 'Trevor Darrell', 'Ian Goodfellow', 'Augustus Odena']",Accept (Poster)
Unsupervised Learning via Meta-Learning,"['Kyle Hsu', 'Sergey Levine', 'Chelsea Finn']",Accept (Poster)
Recurrent Experience Replay in Distributed Reinforcement Learning,"['Steven Kapturowski', 'Georg Ostrovski', 'John Quan', 'Remi Munos', 'Will Dabney']",Accept (Poster)
Query-Efficient Hard-label Black-box Attack: An Optimization-based Approach,"['Minhao Cheng', 'Thong Le', 'Pin-Yu Chen', 'Huan Zhang', 'JinFeng Yi', 'Cho-Jui Hsieh']",Accept (Poster)
Variational Sparse Coding,"['Francesco Tonolini', 'Bjorn Sand Jensen', 'Roderick Murray-Smith']",Reject
Canonical Correlation Analysis with Implicit Distributions,"['Yaxin Shi', 'Donna Xu', 'Yuangang Pan', 'Ivor Tsang']",Reject
Multi-class classification without multi-class labels,"['Yen-Chang Hsu', 'Zhaoyang Lv', 'Joel Schlosser', 'Phillip Odom', 'Zsolt Kira']",Accept (Poster)
GraphSeq2Seq: Graph-Sequence-to-Sequence for Neural Machine Translation,"['Guoshuai Zhao', 'Jun Li', 'Lu Wang', 'Xueming Qian', 'Yun Fu']",Reject
Question Generation using a Scratchpad Encoder,"['Ryan Y Benmalek', 'Madian Khabsa', 'Suma Desu', 'Claire Cardie', 'Michele Banko']",Reject
On the Spectral Bias of Neural Networks,"['Nasim Rahaman', 'Aristide Baratin', 'Devansh Arpit', 'Felix Draxler', 'Min Lin', 'Fred Hamprecht', 'Yoshua Bengio', 'Aaron Courville']",Reject
NEURAL MALWARE CONTROL WITH DEEP REINFORCEMENT LEARNING,"['Yu Wang', 'Jack W. Stokes', 'Mady Marinescu']",Reject
Large-Scale Answerer in Questioner's Mind for Visual Dialog Question Generation,"['Sang-Woo Lee', 'Tong Gao', 'Sohee Yang', 'Jaejun Yoo', 'Jung-Woo Ha']",Accept (Poster)
Unsupervised Hyper-alignment for Multilingual Word Embeddings,"['Jean Alaux', 'Edouard Grave', 'Marco Cuturi', 'Armand Joulin']",Accept (Poster)
Diversity is All You Need: Learning Skills without a Reward Function,"['Benjamin Eysenbach', 'Abhishek Gupta', 'Julian Ibarz', 'Sergey Levine']",Accept (Poster)
Area Attention,"['Yang Li', 'Lukasz Kaiser', 'Samy Bengio', 'Si Si']",Reject
Solving the Rubik's Cube with Approximate Policy Iteration,"['Stephen McAleer', 'Forest Agostinelli', 'Alexander Shmakov', 'Pierre Baldi']",Accept (Poster)
ACIQ: Analytical Clipping for Integer Quantization of neural networks,"['Ron Banner', 'Yury Nahshan', 'Elad Hoffer', 'Daniel Soudry']",Reject
Dynamic Channel Pruning: Feature Boosting and Suppression,"['Xitong Gao', 'Yiren Zhao', 'Łukasz Dudziak', 'Robert Mullins', 'Cheng-zhong Xu']",Accept (Poster)
Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer,"['Hsueh-Ti Derek Liu', 'Michael Tao', 'Chun-Liang Li', 'Derek Nowrouzezahrai', 'Alec Jacobson']",Accept (Poster)
Deterministic PAC-Bayesian generalization bounds for deep networks via generalizing noise-resilience,"['Vaishnavh Nagarajan', 'Zico Kolter']",Accept (Poster)
Learning with Reflective Likelihoods,"['Adji B. Dieng', 'Kyunghyun Cho', 'David M. Blei', 'Yann LeCun']",Reject
On the effect of the activation function on the distribution of hidden nodes in a deep network,['Philip M. Long and Hanie Sedghi'],Reject
Learning-Based Frequency Estimation Algorithms,"['Chen-Yu Hsu', 'Piotr Indyk', 'Dina Katabi', 'Ali Vakilian']",Accept (Poster)
Morpho-MNIST: Quantitative Assessment and Diagnostics for Representation Learning,"['Daniel C. Castro', 'Jeremy Tan', 'Bernhard Kainz', 'Ender Konukoglu', 'Ben Glocker']",Reject
Asynchronous SGD without gradient delay for efficient distributed training,"['Roman Talyansky', 'Pavel Kisilev', 'Zach Melamed', 'Natan Peterfreund', 'Uri Verner']",Reject
Transfer Learning for Related Reinforcement Learning Tasks via Image-to-Image Translation,"['Shani Gamrian', 'Yoav Goldberg']",Reject
BLISS in Non-Isometric Embedding Spaces,"['Barun Patra', 'Joel Ruben Antony Moniz', 'Sarthak Garg', 'Matthew R Gormley', 'Graham Neubig']",Reject
Learning with Random Learning Rates.,"['Léonard Blier', 'Pierre Wolinski', 'Yann Ollivier']",Reject
Deep Ensemble Bayesian Active Learning : Adressing the Mode Collapse issue in Monte Carlo dropout via Ensembles,"['Remus Pop', 'Patric Fulop']",Reject
A Unified Theory of Early Visual Representations from Retina to Cortex through Anatomically Constrained Deep CNNs,"['Jack Lindsey', 'Samuel A. Ocko', 'Surya Ganguli', 'Stephane Deny']",Accept (Oral)
"Look Ma, No GANs! Image Transformation with ModifAE","['Chad Atalla', 'Bartholomew Tam', 'Amanda Song', 'Gary Cottrell']",Reject
From Hard to Soft: Understanding Deep Network Nonlinearities via Vector Quantization and Statistical Inference,"['Randall Balestriero', 'Richard Baraniuk']",Accept (Poster)
Episodic Curiosity through Reachability,"['Nikolay Savinov', 'Anton Raichuk', 'Damien Vincent', 'Raphael Marinier', 'Marc Pollefeys', 'Timothy Lillicrap', 'Sylvain Gelly']",Accept (Poster)
Bayesian Prediction of Future Street Scenes using Synthetic Likelihoods,"['Apratim Bhattacharyya', 'Mario Fritz', 'Bernt Schiele']",Accept (Poster)
Gradient Descent Provably Optimizes Over-parameterized Neural Networks,"['Simon S. Du', 'Xiyu Zhai', 'Barnabas Poczos', 'Aarti Singh']",Accept (Poster)
Domain Adaptation for Structured Output via Disentangled Patch Representations,"['Yi-Hsuan Tsai', 'Kihyuk Sohn', 'Samuel Schulter', 'Manmohan Chandraker']",Reject
Using Word Embeddings to Explore the Learned Representations of Convolutional Neural Networks,"['Dhanush Dharmaretnam', 'Chris Foster', 'Alona Fyshe']",Reject
Implicit Maximum Likelihood Estimation,"['Ke Li', 'Jitendra Malik']",Reject
Dopamine: A Research Framework for Deep Reinforcement Learning,"['Pablo Samuel Castro', 'Subhodeep Moitra', 'Carles Gelada', 'Saurabh Kumar', 'Marc G. Bellemare']",Reject
A NOVEL VARIATIONAL FAMILY FOR HIDDEN NON-LINEAR MARKOV MODELS,"['Daniel Hernandez Diaz', 'Antonio Khalil Moretti', 'Ziqiang Wei', 'Shreya Saxena', 'John Cunningham', 'Liam Paninski']",Reject
DppNet: Approximating Determinantal Point Processes with Deep Networks,"['Zelda Mariet', 'Jasper Snoek', 'Yaniv Ovadia']",Reject
The Case for Full-Matrix Adaptive Regularization,"['Naman Agarwal', 'Brian Bullins', 'Xinyi Chen', 'Elad Hazan', 'Karan Singh', 'Cyril Zhang', 'Yi Zhang']",Reject
Integral Pruning on Activations and Weights for Efficient Neural Networks,"['Qing Yang', 'Wei Wen', 'Zuoguan Wang', 'Yiran Chen', 'Hai Li']",Reject
Bayesian Policy Optimization for Model Uncertainty,"['Gilwoo Lee', 'Brian Hou', 'Aditya Mandalika', 'Jeongseok Lee', 'Sanjiban Choudhury', 'Siddhartha S. Srinivasa']",Accept (Poster)
Towards Consistent Performance on Atari using Expert Demonstrations,"['Tobias Pohlen', 'Bilal Piot', 'Todd Hester', 'Mohammad Gheshlaghi Azar', 'Dan Horgan', 'David Budden', 'Gabriel Barth-Maron', 'Hado van Hasselt', 'John Quan', 'Mel Večerík', 'Matteo Hessel', 'Rémi Munos', 'Olivier Pietquin']",Reject
Transformer-XL: Language Modeling with Longer-Term Dependency,"['Zihang Dai*', 'Zhilin Yang*', 'Yiming Yang', 'William W. Cohen', 'Jaime Carbonell', 'Quoc V. Le', 'Ruslan Salakhutdinov']",Reject
Von Mises-Fisher Loss for Training Sequence to Sequence Models with Continuous Outputs,"['Sachin Kumar', 'Yulia Tsvetkov']",Accept (Poster)
Information-Directed Exploration for Deep Reinforcement Learning,"['Nikolay Nikolov', 'Johannes Kirschner', 'Felix Berkenkamp', 'Andreas Krause']",Accept (Poster)
ADAPTIVE NETWORK SPARSIFICATION VIA DEPENDENT VARIATIONAL BETA-BERNOULLI DROPOUT,"['Juho Lee', 'Saehoon Kim', 'Jaehong Yoon', 'Hae Beom Lee', 'Eunho Yang', 'Sung Ju Hwang']",Reject
Few-Shot Intent Inference via Meta-Inverse Reinforcement Learning,"['Kelvin Xu', 'Ellis Ratner', 'Anca Dragan', 'Sergey Levine', 'Chelsea Finn']",Reject
Physiological Signal Embeddings (PHASE) via Interpretable Stacked Models,"['Hugh Chen', 'Scott Lundberg', 'Gabe Erion', 'Su-In Lee']",Reject
DEEP ADVERSARIAL FORWARD MODEL,"['Morgan Funtowicz', 'Tomi Silander', 'Arnaud Sors', 'Julien Perez']",Reject
Learning deep representations by mutual information estimation and maximization,"['R Devon Hjelm', 'Alex Fedorov', 'Samuel Lavoie-Marchildon', 'Karan Grewal', 'Phil Bachman', 'Adam Trischler', 'Yoshua Bengio']",Accept (Oral)
An Analysis of Composite Neural Network Performance from Function Composition Perspective,"['Ming-Chuan Yang', 'Meng Chang Chen']",Reject
On Learning Heteroscedastic Noise Models within Differentiable Bayes Filters,"['Alina Kloss', 'Jeannette Bohg']",Reject
Exploring Curvature Noise in Large-Batch Stochastic Optimization,"['Yeming Wen', 'Kevin Luk', 'Maxime Gazeau', 'Guodong Zhang', 'Harris Chan', 'Jimmy Ba']",Reject
From Nodes to Networks: Evolving Recurrent Neural Networks,"['Aditya Rawal', 'Jason Liang', 'Risto Miikkulainen']",Reject
Generalized Tensor Models for Recurrent Neural Networks,"['Valentin Khrulkov', 'Oleksii Hrinchuk', 'Ivan Oseledets']",Accept (Poster)
Overcoming Multi-model Forgetting,"['Yassine Benyahia*', 'Kaicheng Yu*', 'Kamil Bennani-Smires', 'Martin Jaggi', 'Anthony Davison', 'Mathieu Salzmann', 'Claudiu Musat']",Reject
Sequenced-Replacement Sampling for Deep Learning,"['Chiu Man Ho', 'Dae Hoon Park', 'Wei Yang', 'Yi Chang']",Reject
NETWORK COMPRESSION USING CORRELATION ANALYSIS OF LAYER RESPONSES,"['Xavier Suau', 'Luca Zappella', 'Nicholas Apostoloff']",Reject
Efficient Exploration through Bayesian Deep Q-Networks,"['Kamyar Azizzadenesheli', 'Animashree Anandkumar']",Reject
Invariant and Equivariant Graph Networks,"['Haggai Maron', 'Heli Ben-Hamu', 'Nadav Shamir', 'Yaron Lipman']",Accept (Poster)
Wizard of Wikipedia: Knowledge-Powered Conversational Agents,"['Emily Dinan', 'Stephen Roller', 'Kurt Shuster', 'Angela Fan', 'Michael Auli', 'Jason Weston']",Accept (Poster)
Combining Learned Representations for Combinatorial Optimization,"['Saavan Patel', 'Sayeef Salahuddin']",Reject
EnGAN: Latent Space MCMC and Maximum Entropy Generators for Energy-based Models,"['Rithesh Kumar', 'Anirudh Goyal', 'Aaron Courville', 'Yoshua Bengio']",Reject
Cohen Welling bases & SO(2)-Equivariant classifiers using Tensor nonlinearity.,"['Muthuvel Murugan', 'K Venkata Subrahmanyam']",Reject
Residual Non-local Attention Networks for Image Restoration,"['Yulun Zhang', 'Kunpeng Li', 'Kai Li', 'Bineng Zhong', 'Yun Fu']",Accept (Poster)
Learning Cross-Lingual Sentence Representations via a Multi-task Dual-Encoder Model,"['Muthuraman Chidambaram', 'Yinfei Yang', 'Daniel Cer', 'Steve Yuan', 'Yun-Hsuan Sung', 'Brian Strope', 'Ray Kurzweil']",Reject
Kernel RNN Learning (KeRNL),"['Christopher Roth', 'Ingmar Kanitscheider', 'Ila Fiete']",Accept (Poster)
Integer Networks for Data Compression with Latent-Variable Models,"['Johannes Ballé', 'Nick Johnston', 'David Minnen']",Accept (Poster)
Structured Adversarial Attack:  Towards General Implementation and Better Interpretability,"['Kaidi Xu', 'Sijia Liu', 'Pu Zhao', 'Pin-Yu Chen', 'Huan Zhang', 'Quanfu Fan', 'Deniz Erdogmus', 'Yanzhi Wang', 'Xue Lin']",Accept (Poster)
Dissecting an Adversarial framework for Information Retrieval,"['Ameet Deshpande', 'Mitesh M.Khapra']",Reject
Complexity of Training ReLU Neural Networks,"['Digvijay Boob', 'Santanu S. Dey', 'Guanghui Lan']",Reject
Graph Convolutional Network with Sequential Attention For Goal-Oriented Dialogue Systems,"['Suman Banerjee', 'Mitesh M. Khapra']",Reject
Cross-Entropy Loss Leads To Poor Margins,"['Kamil Nar', 'Orhan Ocal', 'S. Shankar Sastry', 'Kannan Ramchandran']",Reject
Learning to Refer to 3D Objects with Natural Language,"['Panos Achlioptas', 'Judy E. Fan', 'Robert X.D. Hawkins', 'Noah D. Goodman', 'Leo Guibas']",Reject
Stochastic Adversarial Video Prediction,"['Alex X. Lee', 'Richard Zhang', 'Frederik Ebert', 'Pieter Abbeel', 'Chelsea Finn', 'Sergey Levine']",Reject
Beyond Winning and Losing: Modeling Human Motivations and Behaviors with Vector-valued Inverse Reinforcement Learning,"['Baoxiang Wang', 'Tongfang Sun', 'Xianjun Sam Zheng']",Reject
Model Comparison for Semantic Grouping,"['Francisco Vargas', 'Kamen Brestnichki', 'Nils Hammerla']",Reject
High Resolution and Fast Face Completion via Progressively Attentive GANs,"['Zeyuan Chen', 'Shaoliang Nie', 'Tianfu Wu', 'Christopher G. Healey']",Reject
Robust Determinantal Generative Classifier for Noisy Labels and Adversarial Attacks,"['Kimin Lee', 'Sukmin Yun', 'Kibok Lee', 'Honglak Lee', 'Bo Li', 'Jinwoo Shin']",Reject
Dense Morphological Network: An Universal Function Approximator,"['Ranjan Mondal', 'Sanchayan Santra', 'Bhabatosh Chanda']",Reject
Discriminative out-of-distribution detection for semantic segmentation,"['Petra Bevandić', 'Siniša Šegvić', 'Ivan Krešo', 'Marin Oršić']",Reject
Direct Optimization through $\arg \max$  for  Discrete Variational Auto-Encoder,"['Guy Lorberbom', 'Tamir Hazan']",Reject
Lorentzian Distance Learning,"['Marc T Law', 'Jake Snell', 'Richard S Zemel']",Reject
Neural network gradient-based learning of black-box function interfaces,"['Alon Jacovi', 'Guy Hadash', 'Einat Kermany', 'Boaz Carmeli', 'Ofer Lavi', 'George Kour', 'Jonathan Berant']",Accept (Poster)
Stackelberg GAN: Towards Provable Minimax Equilibrium via Multi-Generator Architectures,"['Hongyang Zhang', 'Susu Xu', 'Jiantao Jiao', 'Pengtao Xie', 'Ruslan Salakhutdinov', 'Eric P. Xing']",Reject
RNNs implicitly implement tensor-product representations,"['R. Thomas McCoy', 'Tal Linzen', 'Ewan Dunbar', 'Paul Smolensky']",Accept (Poster)
Self-Monitoring Navigation Agent via Auxiliary Progress Estimation,"['Chih-Yao Ma', 'Jiasen Lu', 'Zuxuan Wu', 'Ghassan AlRegib', 'Zsolt Kira', 'Richard Socher', 'Caiming Xiong']",Accept (Poster)
Negotiating Team Formation Using Deep Reinforcement Learning,"['Yoram Bachrach', 'Richard Everett', 'Edward Hughes', 'Angeliki Lazaridou', 'Joel Leibo', 'Marc Lanctot', 'Mike Johanson', 'Wojtek Czarnecki', 'Thore Graepel']",Reject
Improved robustness to adversarial examples using Lipschitz regularization of the loss,"['Chris Finlay', 'Adam M. Oberman', 'Bilal Abbasi']",Reject
EDDI: Efficient Dynamic Discovery of High-Value Information with Partial VAE,"['Chao Ma', 'Sebastian Tschiatschek', 'Konstantina Palla', 'Jose Miguel Hernandez Lobato', 'Sebastian Nowozin', 'Cheng Zhang']",Reject
Policy Transfer with Strategy Optimization,"['Wenhao Yu', 'C. Karen Liu', 'Greg Turk']",Accept (Poster)
Predicted Variables in Programming,"['Victor Carbune', 'Thierry Coppey', 'Alexander Daryin', 'Thomas Deselaers', 'Nikhil Sarda', 'Jay Yagnik']",Reject
DeepOBS: A Deep Learning Optimizer Benchmark Suite,"['Frank Schneider', 'Lukas Balles', 'Philipp Hennig']",Accept (Poster)
EFFICIENT SEQUENCE LABELING WITH ACTOR-CRITIC TRAINING,"['Saeed Najafi', 'Colin Cherry', 'Greg Kondrak']",Reject
Transferrable End-to-End Learning for Protein Interface Prediction,"['Raphael J. L. Townshend', 'Rishi Bedi', 'Ron O. Dror']",Reject
Learning data-derived privacy preserving representations from information metrics,"['Martin Bertran', 'Natalia Martinez', 'Afroditi Papadaki', 'Qiang Qiu', 'Miguel Rodrigues', 'Guillermo Sapiro']",Reject
Graph Spectral Regularization For Neural Network Interpretability,"['Alexander Tong', 'David van Dijk', 'Jay Stanley', 'Guy Wolf', 'Smita Krishnaswamy']",Reject
signSGD with Majority Vote is Communication Efficient and Fault Tolerant,"['Jeremy Bernstein', 'Jiawei Zhao', 'Kamyar Azizzadenesheli', 'Anima Anandkumar']",Accept (Poster)
Task-GAN for Improved GAN based Image Restoration,"['Jiahong Ouyang', 'Guanhua Wang', 'Enhao Gong', 'Kevin Chen', 'John Pauly and Greg Zaharchuk']",Reject
Set Transformer,"['Juho Lee', 'Yoonho Lee', 'Jungtaek Kim', 'Adam R. Kosiorek', 'Seungjin Choi', 'Yee Whye Teh']",Reject
MARGINALIZED AVERAGE ATTENTIONAL NETWORK FOR WEAKLY-SUPERVISED LEARNING,"['Yuan Yuan', 'Yueming Lyu', 'Xi Shen', 'Ivor W. Tsang', 'Dit-Yan Yeung']",Accept (Poster)
Learning Robust Representations by Projecting Superficial Statistics Out,"['Haohan Wang', 'Zexue He', 'Zachary C. Lipton', 'Eric P. Xing']",Accept (Oral)
Probabilistic Program Induction for Intuitive Physics Game Play,['Fahad Alhasoun'],Reject
Stable Opponent Shaping in Differentiable Games,"['Alistair Letcher', 'Jakob Foerster', 'David Balduzzi', 'Tim Rocktäschel', 'Shimon Whiteson']",Accept (Poster)
Bounce and Learn: Modeling Scene Dynamics with Real-World Bounces,"['Senthil Purushwalkam', 'Abhinav Gupta', 'Danny Kaufman', 'Bryan Russell']",Accept (Poster)
Deep Recurrent Gaussian Process with Variational Sparse Spectrum Approximation,"['Roman Föll', 'Bernard Haasdonk', 'Markus Hanselmann', 'Holger Ulmer']",Reject
Understanding Composition of Word Embeddings via Tensor Decomposition,"['Abraham Frandsen', 'Rong Ge']",Accept (Poster)
SNAS: stochastic neural architecture search,"['Sirui Xie', 'Hehui Zheng', 'Chunxiao Liu', 'Liang Lin']",Accept (Poster)
Latent Convolutional Models,"['ShahRukh Athar', 'Evgeny Burnaev', 'Victor Lempitsky']",Accept (Poster)
SENSE: SEMANTICALLY ENHANCED NODE SEQUENCE EMBEDDING,"['Swati Rallapalli', 'Liang Ma', 'Mudhakar Srivatsa', 'Ananthram Swami', 'Heesung Kwon', 'Graham Bent', 'Christopher Simpkin']",Reject
NADPEx: An on-policy temporally consistent exploration method for deep reinforcement learning,"['Sirui Xie', 'Junning Huang', 'Lanxin Lei', 'Chunxiao Liu', 'Zheng Ma', 'Wei Zhang', 'Liang Lin']",Accept (Poster)
Representation Degeneration Problem in Training Natural Language Generation Models,"['Jun Gao', 'Di He', 'Xu Tan', 'Tao Qin', 'Liwei Wang', 'Tieyan Liu']",Accept (Poster)
Soft Q-Learning with Mutual-Information Regularization,"['Jordi Grau-Moya', 'Felix Leibfried', 'Peter Vrancx']",Accept (Poster)
"Learning to Adapt in Dynamic, Real-World Environments through Meta-Reinforcement Learning","['Anusha Nagabandi', 'Ignasi Clavera', 'Simin Liu', 'Ronald S. Fearing', 'Pieter Abbeel', 'Sergey Levine', 'Chelsea Finn']",Accept (Poster)
Learning to Drive by Observing the Best and Synthesizing the Worst,"['Mayank Bansal', 'Alex Krizhevsky', 'Abhijit Ogale']",Reject
Adversarial Exploration Strategy for Self-Supervised Imitation Learning,"['Zhang-Wei Hong', 'Tsu-Jui Fu', 'Tzu-Yun Shann', 'Yi-Hsiang Chang', 'Chun-Yi Lee']",Reject
How Important is a Neuron,"['Kedar Dhamdhere', 'Mukund Sundararajan', 'Qiqi Yan']",Accept (Poster)
Knowledge Flow: Improve Upon Your Teachers,"['Iou-Jen Liu', 'Jian Peng', 'Alexander Schwing']",Accept (Poster)
Estimating Information Flow in DNNs,"['Ziv Goldfeld', 'Ewout van den Berg', 'Kristjan Greenewald', 'Brian Kingsbury', 'Igor Melnyk', 'Nam Nguyen', 'Yury Polyanskiy']",Reject
Learning models for visual 3D localization with implicit mapping,"['Dan Rosenbaum', 'Frederic Besse', 'Fabio Viola', 'Danilo J. Rezende', 'S. M. Ali Eslami']",Reject
Hyper-Regularization: An Adaptive Choice for the Learning Rate in Gradient Descent,"['Guangzeng Xie', 'Hao Jin', 'Dachao Lin', 'Zhihua Zhang']",Reject
Meta-Learning Update Rules for Unsupervised Representation Learning,"['Luke Metz', 'Niru Maheswaranathan', 'Brian Cheung', 'Jascha Sohl-Dickstein']",Accept (Oral)
Distributionally Robust Optimization Leads to Better Generalization: on SGD and Beyond,"['Jikai Hou', 'Kaixuan Huang', 'Zhihua Zhang']",Reject
COLLABORATIVE MULTIAGENT REINFORCEMENT LEARNING  IN HOMOGENEOUS SWARMS,"['Arbaaz Khan', 'Clark Zhang', 'Vijay Kumar', 'Alejandro Ribeiro']",Reject
Deconfounding Reinforcement Learning in Observational Settings,"['Chaochao Lu', 'José Miguel Hernández Lobato']",Reject
Emergent Coordination Through Competition,"['Siqi Liu', 'Guy Lever', 'Josh Merel', 'Saran Tunyasuvunakool', 'Nicolas Heess', 'Thore Graepel']",Accept (Poster)
Optimistic mirror descent in saddle-point problems: Going the extra (gradient) mile,"['Panayotis Mertikopoulos', 'Bruno Lecouat', 'Houssam Zenati', 'Chuan-Sheng Foo', 'Vijay Chandrasekhar', 'Georgios Piliouras']",Accept (Poster)
Multilingual Neural Machine Translation with Knowledge Distillation,"['Xu Tan', 'Yi Ren', 'Di He', 'Tao Qin', 'Zhou Zhao', 'Tie-Yan Liu']",Accept (Poster)
Backdrop: Stochastic Backpropagation,"['Siavash Golkar', 'Kyle Cranmer']",Reject
Parameter efficient training of deep convolutional neural networks by dynamic sparse reparameterization,"['Hesham Mostafa', 'Xin Wang']",Reject
Structured Neural Summarization,"['Patrick Fernandes', 'Miltiadis Allamanis', 'Marc Brockschmidt']",Accept (Poster)
Hyperbolic Attention Networks,"['Caglar Gulcehre', 'Misha Denil', 'Mateusz Malinowski', 'Ali Razavi', 'Razvan Pascanu', 'Karl Moritz Hermann', 'Peter Battaglia', 'Victor Bapst', 'David Raposo', 'Adam Santoro', 'Nando de Freitas']",Accept (Poster)
An Efficient and Margin-Approaching Zero-Confidence Adversarial Attack,"['Yang Zhang', 'Shiyu Chang', 'Mo Yu', 'Kaizhi Qian']",Reject
In Your Pace: Learning the Right Example at the Right Time,"['Guy Hacohen', 'Daphna Weinshall']",Reject
Deep Learning 3D Shapes Using Alt-az Anisotropic 2-Sphere Convolution,"['Min Liu', 'Fupin Yao', 'Chiho Choi', 'Ayan Sinha', 'Karthik Ramani']",Accept (Poster)
Generative predecessor models for sample-efficient imitation learning,"['Yannick Schroecker', 'Mel Vecerik', 'Jon Scholz']",Accept (Poster)
A Case for Object Compositionality in Deep Generative Models of Images,"['Sjoerd van Steenkiste', 'Karol Kurach', 'Sylvain Gelly']",Reject
SEGEN: SAMPLE-ENSEMBLE GENETIC EVOLUTIONARY NETWORK MODEL,"['Jiawei Zhang', 'Limeng Cui', 'Fisher B. Gouza']",Reject
